Company Name,Ticker
BUXTON RESOURCES LIMITED,BUX
CALIDUS RESOURCES LIMITED,CAI
CARNAVALE RESOURCES LIMITED,CAV
CIVMEC LIMITED,CVL
CORONADO GLOBAL RESOURCES INC.,CRN
DALRYMPLE BAY INFRASTRUCTURE LIMITED,DBI
DGL GROUP LIMITED,DGL
EAGLE MOUNTAIN MINING LIMITED,EM2
ELANOR INVESTORS GROUP,ENN
ENERGY ACTION LIMITED,EAX
EQUINOX RESOURCES LIMITED.,EQN
EUMUNDI GROUP LIMITED,EBG
EUROPEAN METALS HOLDINGS LIMITED,EMH
EV RESOURCES LTD,EVR
FIDUCIAN GROUP LIMITED,FID
FIELD SOLUTIONS HOLDINGS LIMITED,FSG
FINDI LIMITED,FND
FIREBRICK PHARMA LIMITED,FRE
FLYNN GOLD LIMITED,FG1
FOS CAPITAL LTD,FOS
GENESIS ENERGY LIMITED,GNE
GLENNON SMALL COMPANIES LIMITED,GC1
GLOBE METALS & MINING LIMITED,GBE
GRANGE RESOURCES LIMITED.,GRR
GREAT SOUTHERN MINING LIMITED,GSN
H&G HIGH CONVICTION LIMITED,HCF
HAMELIN GOLD LIMITED,HMG
HITECH GROUP AUSTRALIA LIMITED,HIT
HYDROCARBON DYNAMICS LIMITED,HCD
IGO LIMITED,IGO
INCENTIAPAY LIMITED,INP
INCITEC PIVOT LIMITED,IPL
INGENIA COMMUNITIES GROUP,INA
INTELICARE HOLDINGS LIMITED,ICR
IPD GROUP LTD,IPG
JADE GAS HOLDINGS LIMITED,JGH
JUMBO INTERACTIVE LIMITED,JIN
KATANA CAPITAL LIMITED,KAT
KORE POTASH PLC,KP2
LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2020-S1,LT6
LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2022-1,LT8
LABYRINTH RESOURCES LIMITED,LRL
LENDLEASE GROUP,LLC
LGI LIMITED,LGI
LION SELECTION GROUP LIMITED.,LSX
LION SERIES 2020-1 TRUST,LI8
LITTLE GREEN PHARMA LTD,LGP
LUCAPA DIAMOND COMPANY LIMITED,LOM
LYCAON RESOURCES LTD,LYN
MANDRAKE RESOURCES LIMITED,MAN
MARLEY SPOON SE,MMM
MARMOTA LIMITED,MEU
MC MINING LIMITED,MCM
MEDIBANK PRIVATE LIMITED,MPL
METAROCK GROUP LIMITED,MYE
MICHAEL HILL INTERNATIONAL LIMITED,MHJ
MIDDLE ISLAND RESOURCES LIMITED,MDI
MITCHELL SERVICES LIMITED,MSV
MITHRIL RESOURCES LIMITED,MTH
NAOS EX-50 OPPORTUNITIES COMPANY LIMITED,NAC
NATIONAL RMBS TRUST 2018-1 IN RESPECT OF SERIES 2018-1,NRO
NEWFIELD RESOURCES LIMITED,NWF
NEX METALS EXPLORATION LIMITED,NME
NIDO EDUCATION LIMITED,NDO
NOBLEOAK LIFE LIMITED,NOL
NOVATTI GROUP LIMITED,NOV
NOVONIX LIMITED,NVX
NRW HOLDINGS LIMITED,NWH
NZME LIMITED,NZM
OAR RESOURCES LIMITED,OAR
OPHIR HIGH CONVICTION FUND,OPH
ORA GOLD LIMITED,OAU
PANTERA MINERALS LIMITED,PFE
PANTORO LIMITED,PNR
PAPYRUS AUSTRALIA LIMITED,PPY
PATRIOT LITHIUM LIMITED,PAT
PEAKO LIMITED,PKO
PENGANA CAPITAL GROUP LIMITED,PCG
PEPPER RESIDENTIAL SECURITIES TRUST NO.28,PEV
PETER WARREN AUTOMOTIVE HOLDINGS LIMITED,PWR
PICHE RESOURCES LIMITED,PR2
PIONEER LITHIUM LIMITED,PLN
POWER MINERALS LIMITED,PNN
PURE FOODS TASMANIA LIMITED,PFT
PURIFLOH LIMITED,PO3
QUALITAS LIMITED,QAL
RACE ONCOLOGY LTD,RAC
RED SKY ENERGY LIMITED.,ROG
REDFLOW LIMITED,RFX
REDSTONE RESOURCES LIMITED,RDS
REGION GROUP,RGN
REX MINERALS LIMITED,RXM
RUBY BOND TRUST 2020-1,RB1
SKY METALS LIMITED,SKY
SKYCITY ENTERTAINMENT GROUP LIMITED,SKC
SPECTUR LIMITED,SP3
SQX RESOURCES LIMITED,SQX
STARPHARMA HOLDINGS LIMITED,SPL
STELLAR RESOURCES LIMITED,SRZ
STRIKE RESOURCES LIMITED,SRK
SUPPLY NETWORK LIMITED,SNL
TALISMAN MINING LIMITED,TLM
TASFOODS LIMITED,TFL
TRITON TRUST NO.8 IN RESPECT OF THE BOND SERIES 2019-3,TT3
US MASTERS RESIDENTIAL PROPERTY FUND,URF
VECTION TECHNOLOGIES LTD,VR1
VHM LIMITED,VHM
VICTORY METALS LIMITED,VTM
VISIONFLEX GROUP LIMITED,VFX
VISTA GROUP INTERNATIONAL LIMITED.,VGL
VOLT GROUP LIMITED,VPR
VRX SILICA LIMITED,VRX
WA1 RESOURCES LTD,WA1
WAM ALTERNATIVE ASSETS LIMITED,WMA
WARATAH MINERALS LIMITED,WTM
WINSOME RESOURCES LIMITED,WR1
WISR LIMITED,WZR
WOODSIDE ENERGY GROUP LTD,WDS
XRF SCIENTIFIC LIMITED,XRF
88 ENERGY LIMITED,88E
A1 INVESTMENTS & RESOURCES LTD,AYI
ACUSENSUS LIMITED.,ACE
ADRIATIC METALS PLC,ADT
ADVANCE METALS LIMITED,AVM
ADX ENERGY LTD,ADX
AFRICAN GOLD LTD.,A1G
AI-MEDIA TECHNOLOGIES LIMITED,AIM
AJ LUCAS GROUP LIMITED,AJL
APOLLO SERIES 2017-2 TRUST,AO2
ARK MINES LIMITED,AHK
ARN MEDIA LIMITED,A1N
ARROW MINERALS LTD,AMD
ASAPLUS RESOURCES LIMITED,AJY
ATLAS ARTERIA,ALX
ATRUM COAL LIMITED,ATU
AUSTCO HEALTHCARE LIMITED,AHC
AUSTRAL GOLD LIMITED,AGD
AXEL REE LIMITED,AXL
BAUMART HOLDINGS LIMITED,BMH
BENZ MINING CORP.,BNZ
BESRA GOLD INC.,BEZ
BROCKMAN MINING LIMITED,BCK
CALIMA ENERGY LIMITED,CE1
CARLTON INVESTMENTS LIMITED,CIN
CARLY HOLDINGS LIMITED,CL8
CATALINA RESOURCES LTD,CTN
CATAPULT GROUP INTERNATIONAL LTD,CAT
CD PRIVATE EQUITY FUND III,CD3
CENTURIA FUNDS MANAGEMENT LIMITED,C2F
CHEMX MATERIALS LIMITED,CMX
CLEAN TEQ WATER LIMITED,CNQ
COCHLEAR LIMITED,COH
CODAN LIMITED,CDA
CONDOR ENERGY LIMITED,CND
CORE LITHIUM LTD,CXO
CROMWELL PROPERTY GROUP,CMW
CTI LOGISTICS LIMITED,CLX
DRIVER AUSTRALIA EIGHT TRUST,DA8
DRIVER AUSTRALIA NINE TRUST,DA9
DROPSUITE LIMITED,DSE
DXN LIMITED,DXN
DYNAMIC METALS LIMITED,DYM
EARLYPAY LTD,EPY
ECOFIBRE LIMITED,EOF
ELDERS LIMITED,ELD
ELSIGHT LIMITED,ELS
EMECO HOLDINGS LIMITED,EHL
ENERGY RESOURCES OF AUSTRALIA LIMITED,ERA
ENLITIC INC.,ENL
EZZ LIFE SCIENCE HOLDINGS LIMITED,EZZ
FAT PROPHETS GLOBAL CONTRARIAN FUND LTD,FPC
FATFISH GROUP LIMITED,FFG
FMR RESOURCES LIMITED,FMR
G11 RESOURCES LIMITED,G11
GATEWAY MINING LIMITED,GML
GQG PARTNERS INC.,GQG
GRYPHON CAPITAL INCOME TRUST,GCI
HEALTHCO HEALTHCARE AND WELLNESS REIT,HCW
HERAMED LIMITED,HMD
ICANDY INTERACTIVE LIMITED,ICI
IMMUTEP LIMITED,IMM
IMRICOR MEDICAL SYSTEMS INC.,IMR
INSIGNIA FINANCIAL LTD,IFL
INTEGRATED RESEARCH LIMITED,IRI
INTERNATIONAL GRAPHITE LIMITED,IG6
INVESTIGATOR RESOURCES LTD,IVR
IONDRIVE LIMITED,ION
IXUP LIMITED,IXU
JAMESON RESOURCES LIMITED,JAL
JAVELIN MINERALS LIMITED,JAV
KELLY PARTNERS GROUP HOLDINGS LIMITED,KPG
KGL RESOURCES LIMITED,KGL
LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2020-1,LT5
LITHIUM AUSTRALIA LIMITED,LIT
LOYAL LITHIUM LIMITED,LLI
M8 SUSTAINABLE LIMITED,M8S
MACQUARIE BANK LIMITED,MBL
MAGNIS ENERGY TECHNOLOGIES LTD,MNS
MAGONTEC LIMITED,MGL
MAXIPARTS LIMITED,MXI
MELBANA ENERGY LIMITED,MAY
METRO MINING LIMITED,MMI
MIDWAY LIMITED,MWY
MIGHTY KINGDOM LIMITED,MKL
MONADELPHOUS GROUP LIMITED,MND
MOTORCYCLE HOLDINGS LIMITED,MTO
MRG METALS LIMITED,MRQ
MTM CRITICAL METALS LIMITED,MTM
NAOS SMALL CAP OPPORTUNITIES COMPANY LIMITED,NSC
NEW ZEALAND COASTAL SEAFOODS LIMITED,NZS
NOVA EYE MEDICAL LIMITED,EYE
OPENN NEGOTIATION LIMITED,OPN
ORTHOCELL LIMITED,OCC
PHOSCO LTD,PHO
PLATINUM ASIA INVESTMENTS LIMITED,PAI
PRO MEDICUS LIMITED,PME
PRO-PAC PACKAGING LIMITED,PPG
PROGRESS 2017-2 TRUST,POT
PROSPECH LIMITED.,PRS
READCLOUD LIMITED,RCL
RICEGROWERS LIMITED,SGL
RPM AUTOMOTIVE GROUP LIMITED,RPM
SCENTRE GROUP TRUST 1,SCW
SCHAFFER CORPORATION LIMITED,SFC
SELFWEALTH LIMITED,SWF
SENETAS CORPORATION LIMITED,SEN
SERIES 2019-1 WST TRUST,WE1
